Lookup Key,Name,Position,Salary Cap,Team,Position Group,Abbreviation,Bye Week
RBBucky IrvingTB,Bucky Irving,RB,"$1,142,888 ",Tampa Bay Buccaneers,RB,TB,9
LBBud DupreeLAC,Bud Dupree,OLB,"$3,890,000 ",Los Angeles Chargers,LB,LAC,12
DBBudda BakerARI,Budda Baker,S,"$10,816,250 ",Arizona Cardinals,DB,ARI,8
LBBuddy JohnsonDAL,Buddy Johnson,LB,"$1,030,000 ",Dallas Cowboys,LB,DAL,10
DLByron CowartNYJ,Byron Cowart,DT,"$1,197,500 ",New York Jets,DL,NYJ,9
DBByron Murphy Jr.MIN,Byron Murphy Jr.,CB,"$10,330,000 ",Minnesota Vikings,DB,MIN,6
DLByron MurphySEA,Byron Murphy,DT,"$3,655,255 ",Seattle Seahawks,DL,SEA,8
DLByron YoungLAR,Byron Young,DE,"$1,515,455 ",Los Angeles Rams,DL,LAR,8
DLByron YoungPHI,Byron Young,DT,"$1,265,337 ",Philadelphia Eagles,DL,PHI,9
DLC.J. BrewerTB,C.J. Brewer,DE,"$960,000 ",Tampa Bay Buccaneers,DL,TB,9
TEC.J. DippreNE,C.J. Dippre,TE,"$850,000 ",New England Patriots,TE,NE,14
DBC.J. GoodwinDAL,C.J. Goodwin,CB,"$1,197,500 ",Dallas Cowboys,DB,DAL,10
